id	decision
624	VERIFY
627	VERIFY
628	VERIFY
629	VERIFY
631	VERIFY
633	VERIFY
635	VERIFY
642	VERIFY
643	VERIFY
645	VERIFY
646	VERIFY
650	VERIFY
653	VERIFY
654	VERIFY
655	VERIFY
656	VERIFY
657	VERIFY
658	VERIFY
659	VERIFY
665	VERIFY
666	VERIFY
674	VERIFY
675	VERIFY
676	VERIFY
677	VERIFY
680	VERIFY
682	VERIFY
683	VERIFY
684	VERIFY
685	VERIFY
686	VERIFY
687	VERIFY
693	VERIFY
696	VERIFY
699	VERIFY
700	VERIFY
702	VERIFY
704	VERIFY
708	VERIFY
721	VERIFY
722	VERIFY
729	VERIFY
733	VERIFY
738	VERIFY
739	VERIFY
740	VERIFY
741	VERIFY
743	VERIFY
747	VERIFY
748	VERIFY
753	VERIFY
768	VERIFY
778	VERIFY
780	VERIFY
783	VERIFY
785	VERIFY
786	VERIFY
787	VERIFY
790	VERIFY
791	VERIFY
796	VERIFY
797	VERIFY
798	VERIFY
801	VERIFY
809	VERIFY
812	VERIFY
819	VERIFY
821	VERIFY
823	VERIFY
824	VERIFY
825	VERIFY
829	VERIFY
830	VERIFY
834	VERIFY
840	VERIFY
841	VERIFY
842	VERIFY
844	VERIFY
845	VERIFY
846	VERIFY
847	VERIFY
855	VERIFY
856	VERIFY
857	VERIFY
860	VERIFY
861	VERIFY
869	VERIFY
876	VERIFY
884	VERIFY
888	VERIFY
889	VERIFY
891	VERIFY
901	VERIFY
902	VERIFY
903	VERIFY
904	VERIFY
905	VERIFY
908	VERIFY
911	VERIFY
924	VERIFY
925	VERIFY
926	VERIFY
928	VERIFY
929	VERIFY
933	VERIFY
934	VERIFY
935	VERIFY
937	VERIFY
938	VERIFY
939	VERIFY
940	VERIFY
945	VERIFY
946	VERIFY
947	VERIFY
948	VERIFY
955	VERIFY
957	VERIFY
958	VERIFY
960	VERIFY
961	VERIFY
963	VERIFY
964	VERIFY
966	VERIFY
968	VERIFY
970	VERIFY
971	VERIFY
972	VERIFY
973	VERIFY
975	VERIFY
983	VERIFY
987	VERIFY
988	VERIFY
990	VERIFY
992	VERIFY
993	VERIFY
994	VERIFY
997	VERIFY
1000	VERIFY
1001	VERIFY
1002	VERIFY
1003	VERIFY
1009	VERIFY
1010	VERIFY
1015	VERIFY
1020	SKIP_STABLE
1023	SKIP_STABLE
1028	SKIP_STABLE
1029	VERIFY
1030	VERIFY
1032	VERIFY
1033	VERIFY
1034	VERIFY
1035	VERIFY
1036	VERIFY
1037	VERIFY
1038	VERIFY
1039	VERIFY
1040	VERIFY
1049	VERIFY
1050	VERIFY
1051	VERIFY
1052	VERIFY
1054	VERIFY
1055	VERIFY
1059	VERIFY
1061	VERIFY
1063	VERIFY
1065	VERIFY
1067	VERIFY
1068	VERIFY
1069	VERIFY
1070	VERIFY
1071	VERIFY
1072	VERIFY
1073	VERIFY
1074	VERIFY
1075	VERIFY
1076	VERIFY
1078	VERIFY
1079	VERIFY
1080	VERIFY
1101	VERIFY
1102	VERIFY
1103	VERIFY
1104	VERIFY
1105	VERIFY
1107	VERIFY
1117	VERIFY
1120	VERIFY
1122	VERIFY
1123	VERIFY
1124	VERIFY
1125	VERIFY
1127	VERIFY
1129	VERIFY
1130	VERIFY
1132	VERIFY
1134	VERIFY
1137	VERIFY
1138	VERIFY
1140	VERIFY
1141	VERIFY
1149	VERIFY
1151	VERIFY
1152	VERIFY
1156	VERIFY
1157	VERIFY
1159	VERIFY
1161	VERIFY
