id	decision	reason
84	DROP	NOT_FALSIFIABLE
85	DROP	NOT_LOAD_BEARING
86	DROP	NOT_FALSIFIABLE
87	DROP	NOT_FALSIFIABLE
88	DROP	BOTH
89	KEEP	KEEP
90	KEEP	KEEP
91	DROP	BOTH
92	DROP	NOT_FALSIFIABLE
93	DROP	NOT_FALSIFIABLE
94	DROP	NOT_FALSIFIABLE
95	DROP	NOT_FALSIFIABLE
96	KEEP	KEEP
97	KEEP	KEEP
98	DROP	NOT_FALSIFIABLE
99	DROP	BOTH
100	DROP	NOT_FALSIFIABLE
101	DROP	BOTH
102	KEEP	KEEP
103	KEEP	KEEP
104	KEEP	KEEP
105	KEEP	KEEP
106	DROP	NOT_FALSIFIABLE
107	KEEP	KEEP
108	KEEP	KEEP
109	KEEP	KEEP
110	KEEP	KEEP
111	KEEP	KEEP
112	DROP	NOT_FALSIFIABLE
113	DROP	NOT_FALSIFIABLE
114	DROP	NOT_FALSIFIABLE
115	KEEP	KEEP
116	DROP	NOT_FALSIFIABLE
117	DROP	NOT_FALSIFIABLE
118	DROP	NOT_FALSIFIABLE
119	DROP	NOT_FALSIFIABLE
120	DROP	NOT_FALSIFIABLE
121	DROP	NOT_FALSIFIABLE
122	DROP	NOT_FALSIFIABLE
123	DROP	NOT_FALSIFIABLE
124	KEEP	KEEP
125	KEEP	KEEP
126	KEEP	KEEP
127	KEEP	KEEP
128	KEEP	KEEP
129	DROP	NOT_LOAD_BEARING
130	KEEP	KEEP
131	KEEP	KEEP
132	DROP	NOT_FALSIFIABLE
133	DROP	NOT_LOAD_BEARING
134	DROP	NOT_FALSIFIABLE
135	KEEP	KEEP
136	KEEP	KEEP
137	DROP	NOT_FALSIFIABLE
138	DROP	NOT_FALSIFIABLE
139	KEEP	KEEP
140	DROP	NOT_FALSIFIABLE
141	KEEP	KEEP
142	KEEP	KEEP
143	KEEP	KEEP
144	KEEP	KEEP
145	DROP	NOT_FALSIFIABLE
146	DROP	NOT_FALSIFIABLE
147	DROP	NOT_FALSIFIABLE
148	DROP	NOT_FALSIFIABLE
149	DROP	NOT_FALSIFIABLE
150	DROP	NOT_FALSIFIABLE
151	DROP	NOT_LOAD_BEARING
152	DROP	NOT_LOAD_BEARING
153	KEEP	KEEP
154	DROP	BOTH
155	KEEP	KEEP
156	DROP	NOT_LOAD_BEARING
157	DROP	NOT_FALSIFIABLE
158	DROP	NOT_FALSIFIABLE
159	DROP	NOT_FALSIFIABLE
160	DROP	NOT_LOAD_BEARING
161	KEEP	KEEP
162	DROP	NOT_FALSIFIABLE
163	KEEP	KEEP
164	DROP	NOT_FALSIFIABLE
165	DROP	NOT_FALSIFIABLE
166	DROP	NOT_FALSIFIABLE
167	DROP	NOT_FALSIFIABLE
168	DROP	NOT_FALSIFIABLE
169	KEEP	KEEP
170	DROP	BOTH
171	DROP	NOT_FALSIFIABLE
172	DROP	NOT_FALSIFIABLE
173	DROP	NOT_FALSIFIABLE
174	KEEP	KEEP
175	DROP	NOT_FALSIFIABLE
176	DROP	NOT_FALSIFIABLE
177	DROP	NOT_FALSIFIABLE
178	KEEP	KEEP
179	KEEP	KEEP
180	KEEP	KEEP
181	DROP	NOT_FALSIFIABLE
182	DROP	NOT_FALSIFIABLE
183	DROP	NOT_FALSIFIABLE
184	KEEP	KEEP
185	KEEP	KEEP
186	KEEP	KEEP
187	KEEP	KEEP
188	KEEP	KEEP
189	KEEP	KEEP
190	KEEP	KEEP
191	KEEP	KEEP
192	DROP	NOT_FALSIFIABLE
193	DROP	NOT_FALSIFIABLE
194	KEEP	KEEP
195	DROP	NOT_FALSIFIABLE
196	KEEP	KEEP
197	KEEP	KEEP
198	KEEP	KEEP
199	DROP	NOT_FALSIFIABLE
200	DROP	NOT_LOAD_BEARING
201	KEEP	KEEP
202	DROP	NOT_LOAD_BEARING
203	KEEP	KEEP
204	KEEP	KEEP
205	KEEP	KEEP
206	DROP	NOT_FALSIFIABLE
207	KEEP	KEEP
208	DROP	NOT_LOAD_BEARING
209	KEEP	KEEP
210	DROP	NOT_FALSIFIABLE
211	KEEP	KEEP
212	KEEP	KEEP
213	DROP	NOT_LOAD_BEARING
214	KEEP	KEEP
215	KEEP	KEEP
216	KEEP	KEEP
217	DROP	NOT_FALSIFIABLE
218	KEEP	KEEP
219	KEEP	KEEP
220	DROP	NOT_FALSIFIABLE
221	KEEP	KEEP
222	KEEP	KEEP
223	DROP	NOT_LOAD_BEARING
224	KEEP	KEEP
225	KEEP	KEEP
226	DROP	NOT_FALSIFIABLE
227	KEEP	KEEP
228	DROP	NOT_FALSIFIABLE
229	DROP	NOT_FALSIFIABLE
230	DROP	NOT_FALSIFIABLE
231	DROP	NOT_FALSIFIABLE
232	DROP	NOT_FALSIFIABLE
233	DROP	NOT_FALSIFIABLE
234	KEEP	KEEP
235	KEEP	KEEP
236	KEEP	KEEP
237	DROP	NOT_FALSIFIABLE
238	DROP	NOT_LOAD_BEARING
239	KEEP	KEEP
240	KEEP	KEEP
241	DROP	NOT_FALSIFIABLE
242	DROP	NOT_FALSIFIABLE
243	DROP	NOT_FALSIFIABLE
244	DROP	NOT_FALSIFIABLE
245	KEEP	KEEP
246	KEEP	KEEP
247	DROP	NOT_FALSIFIABLE
248	DROP	NOT_FALSIFIABLE
249	DROP	NOT_FALSIFIABLE
250	DROP	NOT_FALSIFIABLE
251	KEEP	KEEP
252	KEEP	KEEP
253	KEEP	KEEP
254	KEEP	KEEP
255	KEEP	KEEP
256	KEEP	KEEP
257	DROP	NOT_LOAD_BEARING
258	DROP	NOT_FALSIFIABLE
259	KEEP	KEEP
260	DROP	NOT_FALSIFIABLE
261	DROP	NOT_LOAD_BEARING
262	KEEP	KEEP
263	DROP	NOT_FALSIFIABLE
264	DROP	NOT_FALSIFIABLE
265	DROP	NOT_FALSIFIABLE
266	KEEP	KEEP
267	KEEP	KEEP
268	KEEP	KEEP
269	KEEP	KEEP
270	KEEP	KEEP
271	KEEP	KEEP
272	KEEP	KEEP
273	DROP	NOT_FALSIFIABLE
274	DROP	NOT_FALSIFIABLE
275	DROP	NOT_FALSIFIABLE
276	DROP	NOT_FALSIFIABLE
277	DROP	NOT_FALSIFIABLE
278	DROP	NOT_FALSIFIABLE
279	DROP	NOT_FALSIFIABLE
280	KEEP	KEEP
281	DROP	NOT_FALSIFIABLE
282	KEEP	KEEP
283	KEEP	KEEP
284	KEEP	KEEP
285	KEEP	KEEP
286	KEEP	KEEP
287	KEEP	KEEP
288	KEEP	KEEP
289	DROP	NOT_FALSIFIABLE
290	KEEP	KEEP
291	KEEP	KEEP
292	KEEP	KEEP
293	KEEP	KEEP
294	KEEP	KEEP
295	KEEP	KEEP
296	KEEP	KEEP
297	KEEP	KEEP
298	DROP	NOT_FALSIFIABLE
299	KEEP	KEEP
300	KEEP	KEEP
301	KEEP	KEEP
302	KEEP	KEEP
303	DROP	NOT_LOAD_BEARING
304	DROP	NOT_FALSIFIABLE
305	KEEP	KEEP
306	KEEP	KEEP
307	KEEP	KEEP
308	KEEP	KEEP
309	KEEP	KEEP
310	KEEP	KEEP
311	KEEP	KEEP
312	DROP	NOT_LOAD_BEARING
313	DROP	BOTH
314	DROP	NOT_FALSIFIABLE
315	DROP	NOT_FALSIFIABLE
316	DROP	NOT_FALSIFIABLE
317	KEEP	KEEP
318	DROP	NOT_FALSIFIABLE
319	DROP	NOT_LOAD_BEARING
320	KEEP	KEEP
321	KEEP	KEEP
322	DROP	NOT_FALSIFIABLE
323	DROP	NOT_LOAD_BEARING
324	KEEP	KEEP
325	KEEP	KEEP
326	KEEP	KEEP
327	DROP	NOT_LOAD_BEARING
328	KEEP	KEEP
329	DROP	NOT_LOAD_BEARING
330	KEEP	KEEP
331	DROP	NOT_LOAD_BEARING
332	DROP	BOTH
333	DROP	NOT_FALSIFIABLE
334	DROP	NOT_LOAD_BEARING
335	DROP	NOT_LOAD_BEARING
336	KEEP	KEEP
337	DROP	NOT_LOAD_BEARING
338	DROP	NOT_LOAD_BEARING
339	DROP	NOT_LOAD_BEARING
340	DROP	NOT_LOAD_BEARING
341	DROP	NOT_LOAD_BEARING
342	DROP	NOT_LOAD_BEARING
343	DROP	NOT_LOAD_BEARING
344	DROP	NOT_LOAD_BEARING
345	DROP	NOT_LOAD_BEARING
346	DROP	NOT_LOAD_BEARING
347	DROP	NOT_LOAD_BEARING
348	DROP	NOT_LOAD_BEARING
349	DROP	NOT_LOAD_BEARING
350	DROP	NOT_LOAD_BEARING
351	DROP	NOT_LOAD_BEARING
352	DROP	NOT_LOAD_BEARING
353	DROP	NOT_LOAD_BEARING
354	DROP	NOT_LOAD_BEARING
355	DROP	NOT_LOAD_BEARING
356	DROP	NOT_LOAD_BEARING
357	DROP	NOT_LOAD_BEARING
358	DROP	NOT_LOAD_BEARING
359	DROP	NOT_LOAD_BEARING
360	DROP	NOT_LOAD_BEARING
361	DROP	NOT_LOAD_BEARING
362	DROP	NOT_LOAD_BEARING
363	DROP	NOT_LOAD_BEARING
364	DROP	NOT_LOAD_BEARING
365	DROP	NOT_LOAD_BEARING
366	DROP	NOT_LOAD_BEARING
367	DROP	NOT_LOAD_BEARING
368	DROP	NOT_LOAD_BEARING
369	DROP	NOT_LOAD_BEARING
370	DROP	NOT_LOAD_BEARING
371	DROP	NOT_LOAD_BEARING
372	DROP	NOT_LOAD_BEARING
373	DROP	NOT_LOAD_BEARING
374	DROP	NOT_LOAD_BEARING
375	DROP	NOT_LOAD_BEARING
376	DROP	NOT_LOAD_BEARING
377	DROP	NOT_LOAD_BEARING
378	DROP	NOT_LOAD_BEARING
379	DROP	NOT_LOAD_BEARING
380	DROP	NOT_LOAD_BEARING
381	DROP	NOT_LOAD_BEARING
382	DROP	NOT_LOAD_BEARING
383	DROP	NOT_LOAD_BEARING
384	DROP	NOT_LOAD_BEARING
385	DROP	NOT_LOAD_BEARING
386	DROP	NOT_LOAD_BEARING
387	DROP	NOT_LOAD_BEARING
388	DROP	NOT_LOAD_BEARING
389	DROP	NOT_LOAD_BEARING
390	DROP	NOT_LOAD_BEARING
391	DROP	NOT_LOAD_BEARING
392	DROP	NOT_LOAD_BEARING
393	DROP	NOT_LOAD_BEARING
394	DROP	NOT_LOAD_BEARING
395	DROP	NOT_LOAD_BEARING
396	DROP	NOT_LOAD_BEARING
397	DROP	NOT_LOAD_BEARING
398	DROP	NOT_LOAD_BEARING
399	DROP	NOT_LOAD_BEARING
400	DROP	NOT_LOAD_BEARING
401	DROP	NOT_LOAD_BEARING
402	DROP	NOT_LOAD_BEARING
403	DROP	NOT_LOAD_BEARING
404	DROP	NOT_LOAD_BEARING
405	DROP	NOT_LOAD_BEARING
406	DROP	NOT_LOAD_BEARING
407	DROP	NOT_LOAD_BEARING
408	DROP	NOT_LOAD_BEARING
409	DROP	NOT_LOAD_BEARING
410	DROP	NOT_LOAD_BEARING
411	DROP	NOT_LOAD_BEARING
412	DROP	NOT_LOAD_BEARING
413	DROP	NOT_LOAD_BEARING
414	DROP	NOT_LOAD_BEARING
415	DROP	NOT_LOAD_BEARING
416	DROP	NOT_LOAD_BEARING
417	DROP	NOT_LOAD_BEARING
418	DROP	NOT_LOAD_BEARING
419	DROP	NOT_LOAD_BEARING
420	DROP	NOT_LOAD_BEARING
421	DROP	NOT_LOAD_BEARING
422	DROP	NOT_LOAD_BEARING
423	DROP	NOT_LOAD_BEARING
424	DROP	NOT_LOAD_BEARING
425	DROP	NOT_LOAD_BEARING
426	DROP	NOT_LOAD_BEARING
427	DROP	NOT_LOAD_BEARING
428	DROP	NOT_LOAD_BEARING
429	DROP	NOT_LOAD_BEARING
430	DROP	NOT_LOAD_BEARING
431	DROP	NOT_LOAD_BEARING
432	DROP	NOT_LOAD_BEARING
433	DROP	NOT_LOAD_BEARING
434	DROP	NOT_LOAD_BEARING
435	DROP	NOT_LOAD_BEARING
436	DROP	NOT_LOAD_BEARING
437	DROP	NOT_LOAD_BEARING
438	DROP	NOT_LOAD_BEARING
439	DROP	NOT_LOAD_BEARING
440	DROP	NOT_LOAD_BEARING
441	DROP	NOT_LOAD_BEARING
442	DROP	NOT_LOAD_BEARING
443	DROP	NOT_LOAD_BEARING
444	DROP	NOT_LOAD_BEARING
445	DROP	NOT_LOAD_BEARING
446	DROP	NOT_LOAD_BEARING
447	DROP	NOT_LOAD_BEARING
448	DROP	NOT_LOAD_BEARING
449	DROP	NOT_LOAD_BEARING
450	DROP	NOT_LOAD_BEARING
451	DROP	NOT_LOAD_BEARING
452	DROP	NOT_LOAD_BEARING
453	DROP	NOT_LOAD_BEARING
454	DROP	NOT_LOAD_BEARING
455	DROP	NOT_LOAD_BEARING
456	DROP	NOT_LOAD_BEARING
457	DROP	NOT_LOAD_BEARING
458	DROP	NOT_LOAD_BEARING
459	DROP	NOT_LOAD_BEARING
460	DROP	NOT_LOAD_BEARING
461	DROP	NOT_LOAD_BEARING
462	DROP	NOT_LOAD_BEARING
463	DROP	NOT_LOAD_BEARING
464	DROP	NOT_LOAD_BEARING
465	DROP	NOT_LOAD_BEARING
466	DROP	NOT_LOAD_BEARING
467	DROP	NOT_LOAD_BEARING
468	DROP	NOT_LOAD_BEARING
469	DROP	NOT_LOAD_BEARING
470	DROP	NOT_LOAD_BEARING
471	DROP	NOT_LOAD_BEARING
472	DROP	NOT_LOAD_BEARING
473	DROP	NOT_LOAD_BEARING
474	DROP	NOT_LOAD_BEARING
475	DROP	NOT_LOAD_BEARING
476	DROP	NOT_LOAD_BEARING
477	DROP	NOT_LOAD_BEARING
478	DROP	NOT_LOAD_BEARING
479	DROP	NOT_LOAD_BEARING
480	DROP	NOT_LOAD_BEARING
481	DROP	NOT_LOAD_BEARING
482	DROP	NOT_LOAD_BEARING
483	DROP	NOT_LOAD_BEARING
484	DROP	NOT_LOAD_BEARING
485	DROP	NOT_LOAD_BEARING
486	DROP	NOT_LOAD_BEARING
487	DROP	NOT_LOAD_BEARING
488	DROP	NOT_LOAD_BEARING
489	DROP	NOT_LOAD_BEARING
490	DROP	NOT_LOAD_BEARING
491	DROP	NOT_LOAD_BEARING
492	DROP	NOT_LOAD_BEARING
493	DROP	NOT_LOAD_BEARING
494	DROP	NOT_LOAD_BEARING
495	DROP	BOTH
496	DROP	BOTH
497	DROP	BOTH
498	DROP	BOTH
499	DROP	BOTH
500	DROP	NOT_LOAD_BEARING
501	DROP	NOT_LOAD_BEARING
502	DROP	NOT_LOAD_BEARING
503	DROP	NOT_LOAD_BEARING
504	DROP	NOT_LOAD_BEARING
505	DROP	NOT_LOAD_BEARING
506	DROP	NOT_LOAD_BEARING
507	DROP	NOT_LOAD_BEARING
508	DROP	NOT_FALSIFIABLE
509	KEEP	KEEP
510	KEEP	KEEP
511	DROP	NOT_FALSIFIABLE
512	KEEP	KEEP
513	DROP	NOT_FALSIFIABLE
514	KEEP	KEEP
515	KEEP	KEEP
516	KEEP	KEEP
517	DROP	NOT_FALSIFIABLE
518	DROP	NOT_FALSIFIABLE
519	DROP	NOT_FALSIFIABLE
520	DROP	NOT_FALSIFIABLE
521	KEEP	KEEP
522	KEEP	KEEP
523	KEEP	KEEP
524	KEEP	KEEP
525	DROP	NOT_FALSIFIABLE
526	KEEP	KEEP
527	KEEP	KEEP
528	KEEP	KEEP
529	KEEP	KEEP
530	KEEP	KEEP
531	KEEP	KEEP
532	KEEP	KEEP
533	KEEP	KEEP
534	KEEP	KEEP
535	KEEP	KEEP
536	KEEP	KEEP
537	KEEP	KEEP
538	DROP	NOT_FALSIFIABLE
539	DROP	NOT_FALSIFIABLE
540	KEEP	KEEP
541	DROP	NOT_FALSIFIABLE
542	KEEP	KEEP
543	DROP	NOT_FALSIFIABLE
544	DROP	NOT_FALSIFIABLE
545	KEEP	KEEP
546	DROP	NOT_LOAD_BEARING
547	KEEP	KEEP
548	KEEP	KEEP
549	DROP	NOT_FALSIFIABLE
550	KEEP	KEEP
551	KEEP	KEEP
552	KEEP	KEEP
553	DROP	NOT_FALSIFIABLE
554	KEEP	KEEP
555	KEEP	KEEP
556	KEEP	KEEP
557	KEEP	KEEP
558	DROP	NOT_FALSIFIABLE
559	DROP	BOTH
560	KEEP	KEEP
561	KEEP	KEEP
562	DROP	NOT_FALSIFIABLE
563	DROP	NOT_FALSIFIABLE
564	KEEP	KEEP
565	DROP	NOT_LOAD_BEARING
566	KEEP	KEEP
567	KEEP	KEEP
568	KEEP	KEEP
569	KEEP	KEEP
570	KEEP	KEEP
571	KEEP	KEEP
572	DROP	NOT_FALSIFIABLE
573	DROP	NOT_FALSIFIABLE
574	DROP	NOT_FALSIFIABLE
575	KEEP	KEEP
576	KEEP	KEEP
577	KEEP	KEEP
578	DROP	NOT_FALSIFIABLE
579	KEEP	KEEP
580	DROP	BOTH
581	DROP	BOTH
582	KEEP	KEEP
583	DROP	BOTH
584	KEEP	KEEP
585	DROP	NOT_FALSIFIABLE
586	KEEP	KEEP
587	KEEP	KEEP
588	KEEP	KEEP
589	KEEP	KEEP
590	KEEP	KEEP
591	KEEP	KEEP
592	KEEP	KEEP
593	KEEP	KEEP
594	KEEP	KEEP
595	KEEP	KEEP
596	KEEP	KEEP
597	DROP	NOT_FALSIFIABLE
598	DROP	NOT_FALSIFIABLE
599	DROP	NOT_LOAD_BEARING
600	KEEP	KEEP
601	KEEP	KEEP
602	KEEP	KEEP
603	KEEP	KEEP
604	KEEP	KEEP
605	KEEP	KEEP
606	KEEP	KEEP
607	KEEP	KEEP
608	KEEP	KEEP
609	DROP	NOT_FALSIFIABLE
610	DROP	NOT_FALSIFIABLE
611	KEEP	KEEP
612	KEEP	KEEP
613	KEEP	KEEP
614	DROP	NOT_FALSIFIABLE
615	DROP	NOT_FALSIFIABLE
616	KEEP	KEEP
617	DROP	NOT_LOAD_BEARING
618	KEEP	KEEP
619	DROP	NOT_LOAD_BEARING
620	DROP	NOT_LOAD_BEARING
621	DROP	NOT_FALSIFIABLE
622	KEEP	KEEP
623	DROP	NOT_LOAD_BEARING
624	KEEP	KEEP
625	DROP	NOT_LOAD_BEARING
626	DROP	NOT_FALSIFIABLE
627	KEEP	KEEP
628	KEEP	KEEP
629	KEEP	KEEP
630	DROP	NOT_FALSIFIABLE
631	KEEP	KEEP
632	DROP	NOT_FALSIFIABLE
633	KEEP	KEEP
634	DROP	NOT_FALSIFIABLE
635	KEEP	KEEP
636	DROP	NOT_FALSIFIABLE
637	DROP	NOT_LOAD_BEARING
638	DROP	NOT_LOAD_BEARING
639	DROP	NOT_LOAD_BEARING
640	DROP	NOT_LOAD_BEARING
641	DROP	NOT_FALSIFIABLE
642	KEEP	KEEP
643	KEEP	KEEP
644	DROP	NOT_FALSIFIABLE
645	KEEP	KEEP
646	KEEP	KEEP
647	DROP	NOT_FALSIFIABLE
648	DROP	NOT_FALSIFIABLE
649	DROP	NOT_LOAD_BEARING
650	KEEP	KEEP
651	DROP	NOT_FALSIFIABLE
652	DROP	NOT_FALSIFIABLE
653	KEEP	KEEP
654	KEEP	KEEP
655	KEEP	KEEP
656	KEEP	KEEP
657	KEEP	KEEP
658	KEEP	KEEP
659	KEEP	KEEP
660	DROP	BOTH
661	DROP	NOT_FALSIFIABLE
662	DROP	NOT_FALSIFIABLE
663	DROP	NOT_LOAD_BEARING
664	DROP	NOT_LOAD_BEARING
665	KEEP	KEEP
666	KEEP	KEEP
667	DROP	NOT_LOAD_BEARING
668	DROP	NOT_FALSIFIABLE
669	DROP	NOT_FALSIFIABLE
670	DROP	NOT_FALSIFIABLE
671	DROP	NOT_FALSIFIABLE
672	DROP	NOT_FALSIFIABLE
673	DROP	NOT_LOAD_BEARING
674	KEEP	KEEP
675	KEEP	KEEP
676	KEEP	KEEP
677	KEEP	KEEP
678	DROP	NOT_LOAD_BEARING
679	DROP	NOT_FALSIFIABLE
680	KEEP	KEEP
681	DROP	NOT_FALSIFIABLE
682	KEEP	KEEP
683	KEEP	KEEP
684	KEEP	KEEP
685	KEEP	KEEP
686	KEEP	KEEP
687	KEEP	KEEP
688	DROP	NOT_FALSIFIABLE
689	DROP	NOT_LOAD_BEARING
690	DROP	NOT_FALSIFIABLE
691	DROP	NOT_FALSIFIABLE
692	DROP	BOTH
693	KEEP	KEEP
694	DROP	NOT_LOAD_BEARING
695	DROP	NOT_FALSIFIABLE
696	KEEP	KEEP
697	DROP	NOT_FALSIFIABLE
698	DROP	NOT_FALSIFIABLE
699	KEEP	KEEP
700	KEEP	KEEP
701	DROP	NOT_LOAD_BEARING
702	KEEP	KEEP
703	DROP	NOT_FALSIFIABLE
704	KEEP	KEEP
705	DROP	NOT_FALSIFIABLE
706	DROP	NOT_LOAD_BEARING
707	DROP	NOT_FALSIFIABLE
708	KEEP	KEEP
709	DROP	NOT_FALSIFIABLE
710	DROP	NOT_LOAD_BEARING
711	DROP	NOT_LOAD_BEARING
712	DROP	NOT_LOAD_BEARING
713	DROP	NOT_LOAD_BEARING
714	DROP	BOTH
715	DROP	NOT_LOAD_BEARING
716	DROP	NOT_LOAD_BEARING
717	DROP	NOT_FALSIFIABLE
718	DROP	NOT_FALSIFIABLE
719	DROP	NOT_FALSIFIABLE
720	DROP	NOT_FALSIFIABLE
721	KEEP	KEEP
722	KEEP	KEEP
723	DROP	NOT_FALSIFIABLE
724	DROP	NOT_FALSIFIABLE
725	DROP	NOT_FALSIFIABLE
726	DROP	NOT_FALSIFIABLE
727	DROP	NOT_FALSIFIABLE
728	DROP	NOT_LOAD_BEARING
729	KEEP	KEEP
730	DROP	NOT_FALSIFIABLE
731	DROP	BOTH
732	DROP	NOT_FALSIFIABLE
733	KEEP	KEEP
734	DROP	NOT_LOAD_BEARING
735	DROP	NOT_FALSIFIABLE
736	DROP	NOT_FALSIFIABLE
737	DROP	NOT_FALSIFIABLE
738	KEEP	KEEP
739	KEEP	KEEP
740	KEEP	KEEP
741	KEEP	KEEP
742	DROP	NOT_FALSIFIABLE
743	KEEP	KEEP
744	DROP	NOT_FALSIFIABLE
745	DROP	NOT_FALSIFIABLE
746	DROP	NOT_LOAD_BEARING
747	KEEP	KEEP
748	KEEP	KEEP
749	DROP	NOT_FALSIFIABLE
750	DROP	NOT_FALSIFIABLE
751	DROP	BOTH
752	DROP	NOT_FALSIFIABLE
753	KEEP	KEEP
754	DROP	NOT_FALSIFIABLE
755	DROP	NOT_FALSIFIABLE
756	DROP	NOT_FALSIFIABLE
757	DROP	NOT_FALSIFIABLE
758	DROP	NOT_FALSIFIABLE
759	DROP	NOT_LOAD_BEARING
760	DROP	NOT_FALSIFIABLE
761	DROP	NOT_FALSIFIABLE
762	DROP	NOT_LOAD_BEARING
763	DROP	NOT_FALSIFIABLE
764	DROP	NOT_FALSIFIABLE
765	DROP	NOT_FALSIFIABLE
766	DROP	NOT_FALSIFIABLE
767	DROP	NOT_FALSIFIABLE
768	KEEP	KEEP
769	DROP	NOT_FALSIFIABLE
770	DROP	NOT_FALSIFIABLE
771	DROP	NOT_LOAD_BEARING
772	DROP	NOT_LOAD_BEARING
773	DROP	NOT_LOAD_BEARING
774	DROP	NOT_LOAD_BEARING
775	DROP	NOT_LOAD_BEARING
776	DROP	NOT_FALSIFIABLE
777	DROP	NOT_FALSIFIABLE
778	KEEP	KEEP
779	DROP	NOT_LOAD_BEARING
780	KEEP	KEEP
781	DROP	NOT_LOAD_BEARING
782	DROP	NOT_LOAD_BEARING
783	KEEP	KEEP
784	DROP	NOT_LOAD_BEARING
785	KEEP	KEEP
786	KEEP	KEEP
787	KEEP	KEEP
788	DROP	NOT_LOAD_BEARING
789	DROP	NOT_LOAD_BEARING
790	KEEP	KEEP
791	KEEP	KEEP
792	DROP	NOT_LOAD_BEARING
793	DROP	NOT_LOAD_BEARING
794	DROP	NOT_LOAD_BEARING
795	DROP	NOT_FALSIFIABLE
796	KEEP	KEEP
797	KEEP	KEEP
798	KEEP	KEEP
799	DROP	NOT_FALSIFIABLE
800	DROP	NOT_FALSIFIABLE
801	KEEP	KEEP
802	DROP	NOT_FALSIFIABLE
803	DROP	NOT_FALSIFIABLE
804	DROP	NOT_FALSIFIABLE
805	DROP	NOT_FALSIFIABLE
806	DROP	NOT_FALSIFIABLE
807	DROP	NOT_LOAD_BEARING
808	DROP	NOT_FALSIFIABLE
809	KEEP	KEEP
810	DROP	NOT_FALSIFIABLE
811	DROP	NOT_FALSIFIABLE
812	KEEP	KEEP
813	DROP	NOT_FALSIFIABLE
814	DROP	NOT_FALSIFIABLE
815	DROP	NOT_FALSIFIABLE
816	DROP	NOT_FALSIFIABLE
817	DROP	NOT_FALSIFIABLE
818	DROP	NOT_FALSIFIABLE
819	KEEP	KEEP
820	DROP	NOT_LOAD_BEARING
821	KEEP	KEEP
822	DROP	NOT_FALSIFIABLE
823	KEEP	KEEP
824	KEEP	KEEP
825	KEEP	KEEP
826	DROP	NOT_FALSIFIABLE
827	DROP	NOT_LOAD_BEARING
828	DROP	NOT_LOAD_BEARING
829	KEEP	KEEP
830	KEEP	KEEP
831	DROP	NOT_FALSIFIABLE
832	DROP	NOT_FALSIFIABLE
833	DROP	NOT_LOAD_BEARING
834	KEEP	KEEP
835	DROP	NOT_FALSIFIABLE
836	DROP	NOT_FALSIFIABLE
837	DROP	NOT_LOAD_BEARING
838	DROP	NOT_LOAD_BEARING
